model_name,threads,question_id,category,turn,ttft_ms,tpot_ms,tokens_per_sec,prompt_tokens,generated_tokens
phi-4-Q4_K_M,8,1,GR,1,2674.065,0.022,100,33,1
phi-4-Q4_K_M,8,1,GR,2,6572.55,238.40679020979022,4.194511402632586,82,143
phi-4-Q4_K_M,8,2,GR,1,2007.668,0.031,100,19,1
phi-4-Q4_K_M,8,2,GR,2,5215.456,216.56661904761907,4.617516791819695,56,21
phi-4-Q4_K_M,8,3,GR,1,2850.09,231.25511926605506,4.324228597290065,27,218
phi-4-Q4_K_M,8,4,GR,1,7747.732,0.05,100,70,1
phi-4-Q4_K_M,8,4,GR,2,11619.174,218.8601386861314,4.569128055950408,122,137
phi-4-Q4_K_M,8,5,GR,1,2515.826,0.023,100,23,1
phi-4-Q4_K_M,8,5,GR,2,6526.895,217.07874137931032,4.606623355405678,69,58
phi-4-Q4_K_M,8,6,GR,1,2983.013,0.024,100,28,1
phi-4-Q4_K_M,8,6,GR,2,5936.498,210.62694736842104,4.747730584780475,64,19
phi-4-Q4_K_M,8,7,GR,1,5512.761,132.4745,7.548622565097434,57,2
phi-4-Q4_K_M,8,8,GR,1,1636.529,0.045,100,17,1
phi-4-Q4_K_M,8,8,GR,2,5047.999,214.84512727272727,4.654515616407658,54,55
phi-4-Q4_K_M,8,9,GR,1,2925.562,0.048,100,29,1
phi-4-Q4_K_M,8,9,GR,2,5866.772,220.16569298245614,4.542033713125709,62,114
phi-4-Q4_K_M,8,10,GR,1,2863.855,0.047,100,27,1
phi-4-Q4_K_M,8,10,GR,2,5824.716,213.71463414634144,4.679136756331101,62,41
phi-4-Q4_K_M,8,11,GR,1,2864.081,0.047,100,32,1
phi-4-Q4_K_M,8,11,GR,2,6165.753,214.20838333333333,4.668351370935295,67,60
phi-4-Q4_K_M,8,12,GR,1,3473.859,0.046,100,37,1
phi-4-Q4_K_M,8,12,GR,2,7897.326,219.85197727272725,4.548514925383164,88,88
phi-4-Q4_K_M,8,13,GR,1,4661.098,0.048,100,50,1
phi-4-Q4_K_M,8,13,GR,2,7727.561,237.15030612244897,4.216735016499052,84,49
phi-4-Q4_K_M,8,14,GR,1,1937.973,0.04,100,20,1
phi-4-Q4_K_M,8,14,GR,2,5300.244,223.27196739130434,4.478842604756599,57,92
phi-4-Q4_K_M,8,15,GR,1,3329.349,0.047,100,36,1
phi-4-Q4_K_M,8,15,GR,2,6534.166,216.02525,4.629088497756627,72,80
phi-4-Q4_K_M,8,16,GR,1,4623.579,0.023,100,47,1
phi-4-Q4_K_M,8,16,GR,2,7405.778,212.17802380952384,4.713023441568664,82,42
phi-4-Q4_K_M,8,17,GR,1,1728.779,0.046,100,14,1
phi-4-Q4_K_M,8,18,GR,1,7572.558,0.049,100,74,1
phi-4-Q4_K_M,8,18,GR,2,11778.397,227.56324074074075,4.394382839446747,130,162
phi-4-Q4_K_M,8,19,GR,1,2560.601,0.041,100,23,1
phi-4-Q4_K_M,8,19,GR,2,6073.141,216.36194186046512,4.621884936884668,66,86
phi-4-Q4_K_M,8,20,GR,1,2709.213,0.04,100,26,1
phi-4-Q4_K_M,8,20,GR,2,5710.984,221.06361904761906,4.523584678058632,64,21
phi-4-Q4_K_M,8,21,GR,1,2040.788,0.032,100,21,1
phi-4-Q4_K_M,8,21,GR,2,5131.353,219.99882795698923,4.545478761348241,56,93
phi-4-Q4_K_M,8,22,GR,1,2754.371,0.022,100,27,1
phi-4-Q4_K_M,8,22,GR,2,6658.396,215.74826229508196,4.63503153797033,65,61
phi-4-Q4_K_M,8,23,GR,1,2253.389,0.024,100,24,1
phi-4-Q4_K_M,8,23,GR,2,5624.977,202.7261333333333,4.932763149760005,61,15
phi-4-Q4_K_M,8,24,GR,1,3862.036,0.047,100,38,1
phi-4-Q4_K_M,8,24,GR,2,8984.074,216.6841287128713,4.615012672779106,99,101
phi-4-Q4_K_M,8,25,GR,1,6475.536,0.041,100,70,1
phi-4-Q4_K_M,8,25,GR,2,11089.395,217.26966666666667,4.602575294296336,124,108
phi-4-Q4_K_M,8,26,GR,1,2858.707,0.047,100,27,1
phi-4-Q4_K_M,8,26,GR,2,6034.536,212.27349999999998,4.710903621978249,66,44
phi-4-Q4_K_M,8,28,GR,1,5711.521,0.048,100,59,1
phi-4-Q4_K_M,8,28,GR,2,9862.251,226.02276999999998,4.424332999723878,108,100
phi-4-Q4_K_M,8,29,GR,1,3886.416,0.047,100,41,1
phi-4-Q4_K_M,8,31,GR,1,2641.412,223.03361344537817,4.483629102143853,26,238
phi-4-Q4_K_M,8,33,GR,1,1788.501,223.07240248962657,4.482849464296699,18,241
phi-4-Q4_K_M,8,34,GR,1,2385.175,226.72628865979382,4.410604548379102,23,97
phi-4-Q4_K_M,8,34,GR,2,13658.895,217.72813265306124,4.592883739068527,152,98
phi-4-Q4_K_M,8,35,GR,1,1873.287,115.61,8.649770781074302,20,2
phi-4-Q4_K_M,8,35,GR,2,5049.573,215.13920408163264,4.64815329343953,54,49
phi-4-Q4_K_M,8,37,GR,1,1965.588,218.83794685990338,4.569591400161437,19,207
phi-4-Q4_K_M,8,38,GR,1,1910.006,218.5938773006135,4.5746935474536885,20,163
phi-4-Q4_K_M,8,39,GR,1,1891.328,0.014,100,20,1
phi-4-Q4_K_M,8,39,GR,2,4877.713,219.39816666666667,4.557923227860457,53,72
phi-4-Q4_K_M,8,40,GR,1,1849.365,216.20092592592593,4.625327091996899,18,54
phi-4-Q4_K_M,8,40,GR,2,10020.018,217.31906250000003,4.601529145654214,109,80
phi-4-Q4_K_M,8,41,GR,1,1894.12,229.05521621621622,4.365759560157984,20,111
phi-4-Q4_K_M,8,41,GR,2,14766.655,234.11774000000003,4.27135508825602,162,50
phi-4-Q4_K_M,8,42,GR,1,2173.551,223.44921531100476,4.475289826407148,19,209
phi-4-Q4_K_M,8,43,GR,1,1509.597,0.012,100,13,1
phi-4-Q4_K_M,8,43,GR,2,4543.152,221.75278873239438,4.509526151694871,46,71
